자치구코드,시군구명,여성1인가구,범죄수,여성안심택배함,calc
11110,종로구,13320,"3,102",5,8263728
11140,중구,11797,"3,411",8,5029945.875
11170,용산구,20001,"2,969",9,6598107.667
11200,성동구,21711,"2,362",10,5128138.2
11215,광진구,32731,"3,601",14,8418880.786
11230,동대문구,30686,"3,401",12,8696923.833
11260,중랑구,28537,"3,726",6,17721477
11290,성북구,34281,"2,567",9,9777703
11305,강북구,24727,"2,770",9,7610421.111
11320,도봉구,19446,"2,179",11,3852075.818
11350,노원구,32737,"3,743",9,13614954.56
11380,은평구,32632,"3,390",13,8509421.538
11410,서대문구,28504,"2,533",13,5553894.769
11440,마포구,35908,"3,688",15,8828580.267
11470,양천구,21378,"3,216",12,5729304
11500,강서구,47034,"4,415",14,14832507.86
11530,구로구,25886,"4,175",13,8313388.462
11545,금천구,19487,"2,598",10,5062722.6
11560,영등포구,31901,"5,217",12,13868959.75
11590,동작구,33774,"3,200",14,7719771.429
11620,관악구,61568,"5,261",16,20244328
11650,서초구,24800,"4,601",7,16300685.71
11680,강남구,39553,"7,356",9,32327985.33
11710,송파구,40804,"5,410",11,20068149.09
11740,강동구,26499,"3,788",10,10037821.2
