,주소,위도,경도
0,서울 강남구 역삼동 711-4,37.49988,127.03856
1,서울 강남구 압구정로 311,37.5267972,127.0445386
2,서울 강남구 도산대로 143,37.5225746,127.0406891
3,서울 강남구 학동로 169,37.5132719,127.0256431
4,서울 강남구 선릉로 626,37.5257607,127.0399898
5,서울 강남구 학동로95길 19,37.5218275,127.0537222
6,서울 강남구 언주로108길 20,37.5092756,127.0404368
7,서울 강남구 삼성로 203,37.5215591,127.0488566
8,서울 강남구 헌릉로 623,37.4649553,127.1113018
9,서울 강남구 일원로3길 35,37.49241,127.08381
10,서울 강남구 삼성로 761,37.5215591,127.0488566
11,서울 강남구 영동대로112길 4,37.5153853,127.0624493
12,서울 강남구 선릉로 626,37.5257607,127.0399898
13,서울 강남구 밤고개로1길 48,37.4888508,127.1033456
14,서울 강남구 개포로 261,37.481054,127.0537081
