,역이름,위도,경도
108,삼성역,37.50881193,127.0630209
110,선릉역,37.50449378,127.04894809999999
112,역삼역,37.50066001,127.03646040000001
113,강남역,37.49808544,127.0279777
157,압구정역,37.52648497,127.02848600000002
158,신사역,37.51643147,127.02029270000001
172,매봉역,37.48692506,127.0466979
173,도곡역,37.49097578,127.05549769999999
174,대치역,37.49448585,127.0631898
175,학여울역,37.496878,127.07115300000001
176,대청역,37.49370112,127.0795179
177,일원역,37.48398507,127.0841207
178,수서역,37.48528432,127.1044517
350,청담역,37.51944838,127.05370890000002
351,강남구청역,37.51720086,127.0412872
352,학동역,37.5143566,127.03189740000002
353,논현역,37.51118739,127.0216486
422,신논현역,37.50480751,127.02546940000002
431,선정릉역,37.51092904,127.04361370000001
432,삼성중앙역,37.51296146,127.05302560000001
433,봉은사역,37.51423744,127.0602203
436,언주역,37.50732819,127.0339528
533,선릉역,37.50449378,127.04894809999999
535,도곡역,37.49097578,127.05549769999999
539,수서역,37.48528432,127.1044517
542,압구정로데오역,37.52750857,127.0405915
543,강남구청역,37.51720086,127.0412872
544,선정릉역,37.51092904,127.04361370000001
573,인천논현역,37.40065197,126.7225515
593,강남역,37.49808544,127.0279777
