역이름,위도,경도
남영역,37.54055856,126.9713276
용산역,37.53006915,126.964815
노량진역,37.51357125,126.9408887
대방역,37.51334692,126.9264787
영등포역,37.51567647,126.9078579
신도림역,37.50890487,126.891308
회기역,37.5897782,127.0580393
외대앞역,37.59626243,127.0636834
신이문역,37.60177445,127.0673799
광운대역,37.62383376,127.0616906
월계역,37.63325953,127.0588435
녹천역,37.64463345,127.0513741
창동역,37.65332049,127.0476405
신길역,37.51678342,126.9183536
석계역,37.61500193,127.0656702
봉명역,36.80141984,127.1360336
쌍용역,36.79372219,127.1213648
아산역,36.79460339,127.1043579
배방역,36.7776965,127.0527836
온양온천역,36.78053767,127.0031815
신창역,36.76962428,126.9513886
구로역,37.50332802,126.8822911
가산디지털단지역,37.48038874,126.8826437
금천구청역,37.45617995,126.8935996
석수역,37.43508572,126.9023072
관악역,37.41955714,126.9084955
안양역,37.40185319,126.9226348
명학역,37.38445321,126.9355928
금정역,37.37245559,126.9434607
의왕역,37.32034211,126.9479675
성균관대역,37.300329,126.971013
화서역,37.28398727,126.989603
수원역,37.2657867,127.0000902
독산역,37.46596115,126.8894711
세류역,37.24387252,127.0137952
군포역,37.35418507,126.9485085
병점역,37.20674549,127.0331869
세마역,37.18711726,127.0434268
오산대역,37.16933963,127.0630757
송탄역,37.07570545,127.0542715
서정리역,37.05654929,127.0528637
평택역,36.99096795,127.0852821
성환역,36.91612238,127.1268778
직산역,36.87092205,127.1438058
두정역,36.83359183,127.1490719
천안역,36.80899436,127.1468277
당정역,37.343679,126.9483577
서동탄역,37.19572794,127.0518568
광명역,37.41643692,126.8847995
개봉역,37.49463448,126.8586934
오류동역,37.49438279,126.8448075
역곡역,37.48530715,126.8120593
부천역,37.48397806,126.7830727
송내역,37.4876132,126.7530306
부평역,37.48944182,126.7243266
백운역,37.48332803,126.7072764
주안역,37.46503882,126.6799476
제물포역,37.46672224,126.6569483
동인천역,37.47540683,126.6326025
인천역,37.47614957,126.6168166
구일역,37.4962509,126.8696821
오산역,37.14470276,127.0666121
진위역,37.11006822,127.0623515
동암역,37.47068493,126.7028717
소사역,37.48279309,126.7956262
부개역,37.48846983,126.7407256
간석역,37.46469636,126.6935134
도원역,37.46876979,126.6425148
온수역,37.49195669,126.8238253
중동역,37.48666358,126.7645216
도화역,37.46610669,126.6685715
방학역,37.66743116,127.0443172
도봉역,37.67919749,127.0455258
도봉산역,37.68955853,127.0460537
망월사역,37.71020835,127.0474047
회룡역,37.72379508,127.0472772
의정부역,37.73835529,127.0459477
가능역,37.74839272,127.0442746
녹양역,37.75938526,127.0422612
양주역,37.77412414,127.0447213
덕계역,37.81875259,127.0566735
덕정역,37.84318405,127.0615548
지행역,37.89187431,127.0556609
동두천중앙역,37.90176632,127.0564187
보산역,37.91414493,127.057156
동두천역,37.92760607,127.0549143
종로3가역,37.57042084,126.9921442
종로5가역,37.57096169,127.0015395
동대문역,37.571664,127.010618
신설동역,37.57602276,127.0244522
제기동역,37.57816449,127.0349359
청량리역,37.58071852,127.0484998
동묘앞역,37.57321306,127.0163461
소요산역,37.94888318,127.0611195
지제역,37.01876739,127.0698282
서울역,37.55331631,126.9697383
시청역,37.56533728,126.9771812
종각역,37.57022168,126.9831338
낙성대역,37.47708963,126.9635058
서울대입구역,37.4812845,126.9526951
강변역,37.53511805,127.094723
영등포구청역,37.52583052,126.8966683
잠실새내역,37.51160835,127.0863007
당산역,37.5347735,126.9026073
충정로역,37.55974797,126.9644842
종합운동장역,37.51113026,127.0738359
합정역,37.54990144,126.9144473
홍대입구역,37.55686353,126.923765
삼성역,37.50881193,127.0630209
신답역,37.56983509,127.0470665
선릉역,37.50449378,127.0489481
신정네거리역,37.5202159,126.852876
역삼역,37.50066001,127.0364604
강남역,37.49808544,127.0279777
교대역,37.49273596,127.0138634
방배역,37.48145613,126.9975353
